pitcher,player_name,game_year,n,arm_angle,release_z,stuff,locp,pit,fb_VAA,n_next,arm_angle_next,release_z_next,stuff_next,locp_next,pit_next,fb_VAA_next,d_slot,d_stuff,d_loc,d_pit,d_fb_VAA
445276,"Jansen, Kenley",2022,1030.0,71.56615160700342,6.704097087378641,122.80923076923084,96.72407592407592,116.28151848151852,-5.885583513454963,721.0,46.41944629572923,6.2069902912621355,123.64483333333332,97.1551666666666,117.3927777777778,-5.115670879982392,-25.14670531127419,0.8356025641024871,0.43109074259068336,1.111259296259277,0.769912633472571
666129,"Garrett, Braxton",2021,604.0,57.299322270143605,6.2956953642384095,93.35011449405924,92.45416841156994,86.75952911959486,-5.456805205153352,1436.0,39.30326396005495,6.04642061281337,100.40629448708998,101.25126308443826,100.4030425680391,-5.067578540712602,-17.996058310088657,7.056179993030739,8.797094672868326,13.643513448444239,0.38922666444075027
671212,"Boyle, Joe",2024,966.0,48.20292297261832,6.22483436853002,104.78951654970288,82.730869320779,89.59340810704448,-5.037620038626829,934.0,32.20338401636594,5.814593147751606,106.14365000633268,87.58851688762303,95.27747320395042,-4.625965387646957,-15.99953895625238,1.3541334566297962,4.857647566844037,5.68406509690594,0.4116546509798722
641771,"Kuhl, Chad",2023,770.0,41.5312987012987,5.930376623376624,91.82205008462805,91.6545110752362,85.90275744864825,-4.906916031781617,980.0,25.709591836734692,5.286744897959184,97.59971250247663,83.96325771085135,84.95455381634864,-5.665635291292427,-15.82170686456401,5.777662417848589,-7.691253364384849,-0.9482036322996095,-0.7587192595108094
656412,"Faedo, Alex",2022,982.0,44.84828036260995,6.500122199592669,91.70517063081697,92.1445087900724,85.14200620475695,-5.8469088102380455,1068.0,31.59562732812578,6.101282771535581,93.46278698386656,106.54505186400507,97.4414261436717,-5.364862620537242,-13.252653034484169,1.757616353049599,14.400543073932681,12.299419938914752,0.48204618970080393
643615,"Zeuch, T.J.",2021,392.0,37.759998122625674,6.380790816326531,98.64979020979024,101.68888111888111,101.61804195804196,-6.902486706917654,250.0,24.9176,5.732519999999999,96.59384,90.42727999999998,85.89944,-7.02326920700111,-12.842398122625674,-2.0559502097902396,-11.261601118881131,-15.718601958041958,-0.1207825000834557
663855,"Hicks, Jordan",2021,237.0,47.888547678363025,6.3282700421940925,110.6057004830918,83.2847342995169,94.86183574879226,-5.5272349791349455,1142.0,35.07442652300067,5.979649737302977,115.23030541379543,93.27080052667492,108.5883033186287,-5.723563646922012,-12.814121155362358,4.62460493070364,9.98606622715802,13.726467569836444,-0.1963286677870668
600921,"Machado, Andrés",2021,627.0,49.02351185937349,5.581275917065391,93.47733974358977,94.49698717948718,88.95102564102565,-4.831149989477309,1036.0,36.41117970689593,5.430009652509653,101.06094472361808,92.78902512562811,94.90064321608044,-5.313788956792451,-12.612332152477563,7.583604980028312,-1.7079620538590632,5.949617575054788,-0.48263896731514233
622251,"Staumont, Josh",2023,367.0,59.74136307312713,6.318773841961853,95.70350979192166,92.00349594150616,90.07785688977644,-5.032263775311966,420.0,48.035714285714285,6.039666666666666,94.47350588235297,88.77825882352941,85.44239999999998,-4.813264811748026,-11.705648787412848,-1.230003909568694,-3.2252371179767465,-4.635456889776464,0.21899896356393977
694361,"Klein, Will",2025,305.0,53.88568636281751,5.8878360655737705,102.77375375375377,100.45429429429429,104.56390390390396,-4.2238585238121376,783.0,42.760640683643445,5.522145593869732,94.8598626088162,103.51044896514036,101.09063638672733,-4.265607539410393,-11.125045679174065,-7.9138911449375655,3.0561546708460696,-3.4732675171766374,-0.04174901559825539
607229,"Gsellman, Robert",2020,277.0,48.031519154732145,6.204440433212997,85.69715384911322,98.55261570422807,87.30019389835725,-5.580098467998236,508.0,37.08979079632713,5.946240157480316,94.06394964871193,111.1715093676815,106.19671721311478,-6.278976726148447,-10.941728358405015,8.366795799598705,12.61889366345342,18.89652331475753,-0.6988782581502111
579328,"Kikuchi, Yusei",2020,795.0,58.665573191834085,5.862088050314466,107.8711616161616,98.91391414141412,108.69896464646466,-6.480000900231624,2561.0,48.2424096911383,5.66420538852011,106.92438302841576,96.9934293499416,103.67902685869988,-4.708496276847963,-10.423163500695786,-0.9467785877458397,-1.920484791472532,-5.019937787764775,1.7715046233836613
663855,"Hicks, Jordan",2023,1213.0,39.61137874440728,5.934946413849959,124.65468578618342,93.43024388337956,117.28919511368076,-5.742171049370363,1958.0,29.380030643513788,5.615955056179776,105.00092153975116,94.34378293770445,98.95419696264136,-6.109994364031212,-10.231348100893495,-19.65376424643226,0.913539054324886,-18.3349981510394,-0.36782331466084894
656818,"Overton, Connor",2021,274.0,47.06819466537289,6.288613138686131,86.8050035482563,103.60131690997568,90.66100162206,-5.210099885708805,469.0,37.019189765458414,5.916865671641791,83.48335444625612,102.48432710397591,88.38426263639784,-5.991938980161196,-10.049004899914479,-3.3216491020001797,-1.116989805999765,-2.2767389856621634,-0.7818390944523914
641771,"Kuhl, Chad",2021,1525.0,39.738092670707715,5.644262295081967,94.12056261952692,81.28350995393285,80.1916631240232,-4.871087068218532,2423.0,29.928390373453706,5.619628559636814,88.34198395947652,92.84093710426342,83.62805403123677,-5.5645736457693635,-9.80970229725401,-5.7785786600504,11.557427150330568,3.4363909072135783,-0.6934865775508312
607237,"Garrett, Amir",2021,842.0,41.688966081722356,5.994049881235154,103.36358787878784,85.06739393939392,89.00133333333338,-5.733965206672254,804.0,32.20596775117896,5.742848258706467,94.66900497512438,88.11218905472633,86.45203980099505,-5.269115159424932,-9.482998330543396,-8.69458290366346,3.0447951153324055,-2.549293532338325,0.4648500472473218
656756,"Montgomery, Jordan",2021,2636.0,51.58041061994316,6.706517450682852,108.41699570815452,102.5075302380023,109.01848614904408,-6.692128197691043,2856.0,42.123401488896654,6.505091036414566,101.34082169751947,102.9849564418984,102.53292565717408,-6.71778132064393,-9.457009131046505,-7.076174010635043,0.47742620389610124,-6.485560491870004,-0.025653122952886243
548384,"Raley, Brooks",2021,981.0,37.88046967136991,5.8762589194699295,112.79199535962874,98.10424593967514,108.51148491879356,-6.146560506178254,863.0,28.431628978427845,5.552966396292005,107.59436018957342,100.4905450236967,105.75708530805689,-6.50510894928263,-9.448840692942063,-5.197635170055321,2.3862990840215588,-2.7543996107366695,-0.35854844310437617
605195,"Crick, Kyle",2021,468.0,25.004859101843532,5.27440170940171,103.25632558139534,84.38148837209299,90.18474418604646,-4.702644132594582,289.0,15.575028309564615,4.990346020761246,112.10344086021504,82.45806451612901,90.8962724014337,-5.376647954432388,-9.429830792278917,8.8471152788197,-1.923423855963975,0.7115282153872471,-0.6740038218378066
621366,"Borucki, Ryan",2021,384.0,36.37061322836547,5.887630208333333,108.62652173913044,90.53184782608696,101.0317391304348,-5.621020479340057,468.0,26.986635321084528,5.621196581196581,109.4114551641681,84.1354375057482,93.1186609031546,-5.923779117039426,-9.383977907280943,0.7849334250376643,-6.3964103203387594,-7.913078227280195,-0.3027586376993687
676974,"Meyer, Max",2024,968.0,46.08812884393619,5.815454545454545,88.09427094105482,99.7983247156153,93.52701137538776,-5.0145108835427585,1039.0,36.74809140982293,5.628488931665062,97.33934362934365,106.09984555984556,107.22816602316604,-4.5729139959200324,-9.340037434113256,9.245072688288829,6.301520844230268,13.701154647778282,0.4415968876227261
621363,"Poche, Colin",2024,543.0,64.99834254143646,6.288563535911601,94.3092421441774,100.458853974122,98.67160813308683,-5.1850800520336575,244.0,55.66803278688525,6.161516393442623,,,,-4.860916011006971,-9.330309754551209,,,,0.3241640410266866
666808,"Doval, Camilo",2021,519.0,27.84156621184119,5.491194605009634,121.6512831858407,96.8400442477876,117.55008849557524,-4.422546781249526,1121.0,18.516592328278325,5.275878679750223,116.2399464285714,102.6781785714286,118.8686428571428,-4.1664048525073865,-9.324973883562865,-5.4113367572692965,5.838134323641,1.3185543615675641,0.2561419287421396
445276,"Jansen, Kenley",2024,801.0,61.81073657927592,6.488501872659176,120.06796482412057,97.02386934673362,113.70479899497488,-5.676693183352124,869.0,52.65142979193754,6.3412543153049485,114.71112849162007,102.05982122905029,115.16677094972064,-5.3039455754337,-9.15930678733838,-5.356836332500492,5.035951882316667,1.4619719547457635,0.37274760791842354
656638,"Lange, Alex",2021,677.0,45.4819990458938,6.005110782865583,99.5686520376176,90.90833855799376,90.07805642633224,-5.285731463371164,1107.0,36.40409910942186,5.69379403794038,102.1916398104266,92.15791469194312,96.95302369668254,-5.763331655581861,-9.077899936471944,2.6229877728089974,1.2495761339493612,6.874967270350297,-0.47760019221069694
596133,"Weaver, Luke",2021,1183.0,52.16510353317451,5.7266948436179215,91.90939146230694,107.76361489554948,98.20399636693917,-4.5911924489827936,816.0,43.13300322835025,5.616200980392157,92.17933335393516,107.16982970680506,98.34293750319364,-4.419576889592041,-9.032100304824262,0.26994189162822124,-0.5937851887444197,0.13894113625447346,0.17161555939075246
670912,"Oviedo, Johan",2021,1086.0,34.927404289904466,5.754125230202578,92.10638761174792,93.09005402283536,86.54014984239281,-5.312790959060745,1044.0,25.961049227882814,5.406015325670499,103.24781632653064,98.86993877551018,101.9183469387755,-4.90224033053634,-8.966355062021652,11.14142871478272,5.779884752674818,15.378197096382692,0.4105506285244056
667463,"King, John",2021,696.0,28.98731932428144,5.6394396551724135,104.77724637681156,102.04359420289856,105.3066666666666,-6.657459377294528,749.0,20.130810217510195,5.312483311081442,99.5287785234899,103.16042953020136,103.47712751677852,-6.334046023299511,-8.856509106771245,-5.248467853321657,1.1168353273027947,-1.8295391498880775,0.3234133539950177
664875,"Lawrence, Justin",2021,397.0,9.354368139161165,4.80639798488665,94.28302469135808,92.5682098765432,85.33407407407408,-5.413757198130908,785.0,0.5042884453965165,4.531528662420382,,,,-5.466247390667371,-8.850079693764648,,,,-0.05249019253646381
605130,"Barlow, Scott",2021,1234.0,34.41587116349859,5.381183144246354,102.80091954022993,100.50995073891632,103.5029228243021,-4.685591056577332,1198.0,25.7144407345576,5.152854757929883,102.0879766860949,102.92309741881763,105.72905911740212,-4.533544287688433,-8.701430428940995,-0.7129428541350222,2.413146679901317,2.226136293100012,0.15204676888889868
641360,"Bickford, Phil",2021,853.0,37.98839378733896,5.300844079718641,104.38284100459438,103.48672358247416,107.289867001905,-4.293540462815722,1006.0,29.31953121491488,5.090834990059642,111.54355915065725,103.86634984833164,113.30293225480284,-3.9953207217000535,-8.668862572424079,7.160718146062862,0.3796262658574818,6.013065252897846,0.2982197411156684
657140,"Wright, Kyle",2021,300.0,37.25145132275133,5.8046,82.09863636363636,66.32000000000001,57.956212121212126,-5.038868341129912,2780.0,28.654050618233892,5.592201438848921,99.4320163386558,98.48520608986256,96.8945488303008,-6.002868406114838,-8.597400704517437,17.33337997501944,32.16520608986255,38.93833670908868,-0.9640000649849263
594835,"Gonzales, Marco",2021,2324.0,48.008102165164004,5.664432013769363,92.83379577768204,102.55482981473504,93.56550624730716,-4.941359218079125,2836.0,39.440665089198795,5.523723554301834,88.02123185840712,102.70924601769916,89.2989168141593,-4.573097498435597,-8.56743707596521,-4.812563919274922,0.1544162029641143,-4.266589433147857,0.3682617196435274
506433,"Darvish, Yu",2024,1189.0,39.885365853658534,5.602607232968881,99.765577689243,100.96188047808764,100.68731474103586,-4.578301559796847,1157.0,31.341572790350337,5.333949870354365,99.12126297577856,100.00010380622834,99.50906574394465,-5.607515480585504,-8.543793063308197,-0.6443147134644391,-0.9617766718592975,-1.1782489970912167,-1.0292139207886573
605242,"Fulmer, Michael",2021,1371.0,47.02463924075241,6.190751276440555,106.38316145393075,98.55413355874892,104.87731191885034,-7.301343740283804,1121.0,38.56602663827281,5.944620874219447,97.20688644063831,92.69651591774998,95.154769040346,-6.512106918469431,-8.458612602479597,-9.17627501329244,-5.857617640998939,-9.722542878504342,0.7892368218143728
669302,"Gilbert, Logan",2023,2922.0,52.24732111569844,6.203884325804245,100.87655125128556,107.80308536167298,108.52445663352763,-4.954334363670898,3041.0,43.83688538472022,5.825659322591253,96.24569078947366,112.57998026315788,110.85804605263158,-4.813573190570782,-8.410435730978222,-4.630860461811906,4.776894901484894,2.3335894191039444,0.14076117310011593
